1	Vosim 99S			Jo Scherpenisse	99S	Vosim		Thuis	Sound synthesizer	Jos Jansen	Ongetest		TMS9900	16bits							?	LU			Hardware_Vosim_99S_picture.jpg
101	IBM 5140			IBM	5140	IBM 5140 Convertible		Depot	Laptop	Museum	Geen PSU														
102	IBM Personal Computer Color Display			IBM	5153002	IBM color display	0895476	Depot	Monitor	Museum												DND	9 augustus 2014		
103	IBM PC XT		42001020	IBM	5160 (PC XT)	IBM PC XT	5160 AV550076294	Depot	Desktop computer	Museum			8086		DOS							DND	9 augustus 2014		Hardware_IBM_PC_XT_picture.jpg
104			42001000	Atari	520ST		A1 6AB 4005870	Depot	Homecomputer		Onbekend											DND	9 augustus 2014		
105			42001001	Atari	520ST+		A1 4000149 10 1985	Depot	Homecomputer													DND	9 augustus 2014		
106			42001002	Atari	520ST+		A1 4001268 10 1985	Depot	Homecomputer									Cezanne							
107	IBM 5291 2			IBM	5291 2	IBM 5291	53-W3108	Depot	Terminal	Museum	?							Goya	192.168.2.247						
108	IBM system/36			IBM	5362	System/36	44-56564	Depot	Server	Museum	Defect														
109	Holborn systeem 6100		serial #42	Holborn	6110	Holbornsysteem 6100		Depot	Computer	Museum	OK		Z80		CP/M										
110	Wang 700			Wang	700B	Wang 700	825482	Depot	Programmeerbare calculator	Museum	OK		Discrete elektronica												
111	Texas Instruments SilentWriter 745			Texas Instruments	745 portable	SilentWriter 700	04746 12285	Depot	Hardcopy terminal	Museum	OK														
112			42001037	HP	7550 PLUS		3144L07004	Depot	Plotter									IRIS	DHCP						
113	Texas Instruments SilentWriter 765			Texas Instruments	765 portable	SilentWriter 700		Depot	Hardcopy terminal	Museum	Defect														
114	Commodore CBM 8096-SK			Commodore	8096-SK	Commodore CBM 8096-SK	0719	Depot	Homecomputer	Museum	Defect														
115	Apple 3.5 Drive			Apple	825-1304-A	Apple 3.5 Drive	Y810BHA	Depot	Storage	Museum	?											DND	9 augustus 2014		
116	HP 82913A			HP	82913A	HP 82913A	2317J5323O	Depot	Monitor	Museum	OK											Mack	1 november 2019		
117	Commodore CBM 8296			Commodore	8296	Commodore CBM 8296	0306	Depot	Homecomputer	Museum	Defect														
118			42001052	IBM	8530-021		55-2025391	Depot													MacSimski	Scryption			
119	HP 85 (2)			HP	85A	HP 85	2349A25144	Depot	Desktop computer	Museum	OK											DND	9 augustus 2014		
120	HP 9000 M712/80			HP	9000 712/80	HP 9000 712/80		Depot	Workstation	Museum			PA-Risc		HPUX										
